Data,Tipo,Recesso,Final de Semana,Noturno,Apoio,Diurno
01/04/2026,final_semana,,"NOME 059, NOME 114",,,{}
02/04/2026,noturno,,,"NOME 037, NOME 104",,"{'R1': ['NOME 081', 'NOME 127'], 'R2': ['NOME 114', 'NOME 056'], 'R3': ['NOME 006', 'NOME 069'], 'R4': ['NOME 094', 'NOME 112'], 'R5': ['NOME 090', 'NOME 103'], 'R6': ['NOME 104', 'NOME 128'], 'R7': ['NOME 035', 'NOME 025'], 'R8': ['NOME 059', 'NOME 002'], 'R9': ['NOME 074', 'NOME 110']}"
03/04/2026,noturno,,,"NOME 112, NOME 005",,"{'R1': ['NOME 081', 'NOME 127'], 'R2': ['NOME 114', 'NOME 056'], 'R3': ['NOME 069', 'NOME 088'], 'R4': ['NOME 094', 'NOME 112'], 'R5': ['NOME 090', 'NOME 103'], 'R6': ['NOME 104', 'NOME 128'], 'R7': ['NOME 035', 'NOME 025'], 'R8': ['NOME 059', 'NOME 002'], 'R9': ['NOME 074', 'NOME 110']}"
04/04/2026,final_semana,,"NOME 002, NOME 035",,,{}
05/04/2026,final_semana,,"NOME 130, NOME 081",,,{}
06/04/2026,noturno,,,"NOME 016, NOME 048",,"{'R1': ['NOME 095', 'NOME 116'], 'R2': ['NOME 075', 'NOME 093'], 'R3': ['NOME 088', 'NOME 117'], 'R4': ['NOME 042', 'NOME 027'], 'R5': ['NOME 049', 'NOME 048'], 'R6': ['NOME 067', 'NOME 091'], 'R7': ['NOME 083', 'NOME 118'], 'R8': ['NOME 130', 'NOME 037'], 'R9': ['NOME 010', 'NOME 071']}"
07/04/2026,noturno,,,"NOME 049, NOME 117",,"{'R1': ['NOME 095', 'NOME 116'], 'R2': ['NOME 075', 'NOME 093'], 'R3': ['NOME 117', 'NOME 031'], 'R4': ['NOME 042', 'NOME 027'], 'R5': ['NOME 049', 'NOME 048'], 'R6': ['NOME 067', 'NOME 091'], 'R7': ['NOME 083', 'NOME 118'], 'R8': ['NOME 130', 'NOME 037'], 'R9': ['NOME 010', 'NOME 071']}"
08/04/2026,noturno,,,"NOME 047, NOME 129",,"{'R1': ['NOME 033', 'NOME 030'], 'R2': ['NOME 100', 'NOME 039'], 'R3': ['NOME 031', 'NOME 099'], 'R4': ['NOME 131', 'NOME 102'], 'R5': ['NOME 124', 'NOME 079'], 'R6': ['NOME 019', 'NOME 001'], 'R7': ['NOME 003', 'NOME 119'], 'R8': ['NOME 084', 'NOME 028'], 'R9': ['NOME 070', 'NOME 115']}"
09/04/2026,noturno,,,"NOME 079, NOME 010",,"{'R1': ['NOME 033', 'NOME 030'], 'R2': ['NOME 100', 'NOME 039'], 'R3': ['NOME 099', 'NOME 113'], 'R4': ['NOME 131', 'NOME 102'], 'R5': ['NOME 124', 'NOME 079'], 'R6': ['NOME 019', 'NOME 001'], 'R7': ['NOME 003', 'NOME 119'], 'R8': ['NOME 084', 'NOME 028'], 'R9': ['NOME 070', 'NOME 115']}"
10/04/2026,noturno,,,"NOME 128, NOME 039",,"{'R1': ['NOME 077', 'NOME 045'], 'R2': ['NOME 080', 'NOME 051'], 'R3': ['NOME 113', 'NOME 123'], 'R4': ['NOME 073', 'NOME 129'], 'R5': ['NOME 092'], 'R6': ['NOME 014', 'NOME 066'], 'R7': ['NOME 036', 'NOME 120'], 'R8': ['NOME 064', 'NOME 016'], 'R9': []}"
